InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,TotalPrice
INV500012,2023-01-08,10002,Belgium,STK003,Set de tasses ceramique,1,11.9,11.9
INV500013,2023-09-23,10002,Belgium,STK010,Guirlande lumineuse,5,17.05,85.25
INV500013,2023-09-23,10002,Belgium,STK001,Lampe de bureau design,4,24.92,99.68
INV500013,2023-09-23,10002,Belgium,STK009,Vase en verre,3,17.7,53.099999999999994
INV500014,2023-12-08,10002,Belgium,STK003,Set de tasses ceramique,2,15.14,30.28
INV500014,2023-12-08,10002,Belgium,STK009,Vase en verre,5,20.23,101.15
INV500014,2023-12-08,10002,Belgium,STK001,Lampe de bureau design,3,22.44,67.32000000000001
INV500015,2023-02-28,10003,France,STK002,Coussin en lin,4,20.15,80.6
INV500016,2023-04-16,10003,France,STK003,Set de tasses ceramique,2,14.86,29.72
INV500016,2023-04-16,10003,France,STK012,Miroir mural rond,4,43.0,172.0
INV500016,2023-04-16,10003,France,STK004,Plaid tricote,3,32.37,97.10999999999999
INV500017,2023-11-26,10003,France,STK010,Guirlande lumineuse,4,11.79,47.16
INV500018,2023-10-20,10003,France,STK011,Plateau en bambou,5,26.01,130.05
INV500018,2023-10-20,10003,France,STK007,Panier de rangement,4,24.69,98.76
INV500019,2023-10-29,10003,France,STK011,Plateau en bambou,3,19.47,58.41
INV500020,2023-07-29,10003,France,STK010,Guirlande lumineuse,5,14.99,74.95
INV500020,2023-07-29,10003,France,STK007,Panier de rangement,5,21.9,109.5
INV500021,2023-03-08,10003,France,STK009,Vase en verre,3,17.51,52.53
INV500021,2023-03-08,10003,France,STK002,Coussin en lin,2,19.15,38.3
INV500022,2023-08-05,10003,France,STK001,Lampe de bureau design,2,27.75,55.5
INV500022,2023-08-05,10003,France,STK001,Lampe de bureau design,4,23.35,93.4
INV500022,2023-08-05,10003,France,STK007,Panier de rangement,5,23.18,115.9
INV500022,2023-08-05,10003,France,STK008,Tapis de bain,5,27.66,138.3
INV500023,2023-11-27,10003,France,STK006,Cadre photo bois,1,13.6,13.6
INV500023,2023-11-27,10003,France,STK005,Bougie parfumee,1,13.04,13.04
INV500024,2023-08-19,10003,France,STK005,Bougie parfumee,4,13.58,54.32
INV500025,2023-09-26,10003,France,STK005,Bougie parfumee,1,10.99,10.99
INV500025,2023-09-26,10003,France,STK012,Miroir mural rond,2,34.32,68.64
INV500026,2023-07-05,10003,France,STK004,Plaid tricote,1,37.56,37.56
INV500026,2023-07-05,10003,France,STK002,Coussin en lin,4,15.9,63.6
INV500026,2023-07-05,10003,France,STK011,Plateau en bambou,5,20.47,102.35
INV500026,2023-07-05,10003,France,STK002,Coussin en lin,3,21.68,65.03999999999999
INV500027,2023-09-08,10004,France,STK010,Guirlande lumineuse,2,11.96,23.92
INV500028,2023-05-30,10004,France,STK008,Tapis de bain,4,25.92,103.68
INV500029,2023-05-14,10004,France,STK004,Plaid tricote,3,24.93,74.78999999999999
INV500029,2023-05-14,10004,France,STK011,Plateau en bambou,3,22.9,68.69999999999999
INV500030,2023-03-06,10004,France,STK003,Set de tasses ceramique,4,13.4,53.6
INV500030,2023-03-06,10004,France,STK004,Plaid tricote,1,26.58,26.58
INV500030,2023-03-06,10004,France,STK001,Lampe de bureau design,5,24.92,124.60000000000001
INV500030,2023-03-06,10004,France,STK009,Vase en verre,2,15.68,31.36
INV500031,2023-06-16,10004,France,STK011,Plateau en bambou,5,22.53,112.65
INV500031,2023-06-16,10004,France,STK012,Miroir mural rond,5,43.64,218.2
INV500032,2023-01-10,10005,France,STK004,Plaid tricote,1,38.73,38.73
INV500033,2023-02-22,10005,France,STK010,Guirlande lumineuse,1,12.31,12.31
INV500033,2023-02-22,10005,France,STK005,Bougie parfumee,1,10.92,10.92
INV500034,2023-10-25,10005,France,STK005,Bougie parfumee,4,10.21,40.84
INV500035,2023-05-28,10006,France,STK009,Vase en verre,5,19.55,97.75
INV500035,2023-05-28,10006,France,STK012,Miroir mural rond,1,36.39,36.39
INV500035,2023-05-28,10006,France,STK008,Tapis de bain,4,24.18,96.72
INV500035,2023-05-28,10006,France,STK001,Lampe de bureau design,3,17.77,53.31
INV500036,2023-12-17,10006,France,STK012,Miroir mural rond,2,40.44,80.88
INV500036,2023-12-17,10006,France,STK002,Coussin en lin,3,16.5,49.5
INV500036,2023-12-17,10006,France,STK010,Guirlande lumineuse,4,11.46,45.84
INV500036,2023-12-17,10006,France,STK008,Tapis de bain,5,24.16,120.8
INV500037,2023-09-29,10006,France,STK006,Cadre photo bois,2,10.39,20.78
INV500038,2023-12-05,10006,France,STK007,Panier de rangement,3,19.65,58.949999999999996
INV500039,2023-06-02,10006,France,STK012,Miroir mural rond,1,48.6,48.6
INV500039,2023-06-02,10006,France,STK009,Vase en verre,1,20.11,20.11
INV500039,2023-06-02,10006,France,STK011,Plateau en bambou,5,24.47,122.35
INV500040,2023-12-26,10006,France,STK004,Plaid tricote,5,26.95,134.75
INV500040,2023-12-26,10006,France,STK011,Plateau en bambou,4,20.76,83.04
INV500040,2023-12-26,10006,France,STK001,Lampe de bureau design,3,25.28,75.84
INV500040,2023-12-26,10006,France,STK005,Bougie parfumee,1,10.99,10.99
INV500041,2023-03-10,10006,France,STK002,Coussin en lin,5,22.53,112.65
INV500041,2023-03-10,10006,France,STK009,Vase en verre,1,21.84,21.84
INV500041,2023-03-10,10006,France,STK006,Cadre photo bois,4,9.13,36.52
INV500041,2023-03-10,10006,France,STK003,Set de tasses ceramique,3,15.64,46.92
INV500042,2023-08-26,10006,France,STK007,Panier de rangement,4,17.88,71.52
INV500042,2023-08-26,10006,France,STK001,Lampe de bureau design,2,23.7,47.4
INV500042,2023-08-26,10006,France,STK010,Guirlande lumineuse,3,14.81,44.43
INV500043,2023-03-13,10006,France,STK001,Lampe de bureau design,4,24.88,99.52
INV500043,2023-03-13,10006,France,STK012,Miroir mural rond,5,40.66,203.29999999999998
INV500043,2023-03-13,10006,France,STK005,Bougie parfumee,4,11.61,46.44
INV500043,2023-03-13,10006,France,STK010,Guirlande lumineuse,4,15.57,62.28
INV500044,2023-04-21,10006,France,STK010,Guirlande lumineuse,5,16.7,83.5
INV500045,2023-11-01,10006,France,STK010,Guirlande lumineuse,3,13.13,39.39
INV500045,2023-11-01,10006,France,STK007,Panier de rangement,3,19.58,58.739999999999995
INV500045,2023-11-01,10006,France,STK008,Tapis de bain,3,30.73,92.19
INV500045,2023-11-01,10006,France,STK008,Tapis de bain,4,22.69,90.76
INV500046,2023-02-15,10006,France,STK004,Plaid tricote,2,36.78,73.56
INV500047,2023-07-08,10006,France,STK010,Guirlande lumineuse,2,12.46,24.92
INV500048,2023-04-22,10006,France,STK001,Lampe de bureau design,5,24.09,120.45
INV500048,2023-04-22,10006,France,STK011,Plateau en bambou,5,20.77,103.85
INV500048,2023-04-22,10006,France,STK007,Panier de rangement,1,21.61,21.61
INV500048,2023-04-22,10006,France,STK009,Vase en verre,2,20.01,40.02
INV500049,2023-11-24,10006,France,STK003,Set de tasses ceramique,2,13.91,27.82
INV500049,2023-11-24,10006,France,STK011,Plateau en bambou,3,22.31,66.92999999999999
INV500049,2023-11-24,10006,France,STK003,Set de tasses ceramique,4,15.55,62.2
INV500049,2023-11-24,10006,France,STK003,Set de tasses ceramique,4,15.62,62.48
INV500050,2023-02-25,10006,France,STK002,Coussin en lin,3,18.0,54.0
INV500050,2023-02-25,10006,France,STK008,Tapis de bain,2,25.23,50.46
INV500050,2023-02-25,10006,France,STK007,Panier de rangement,4,18.09,72.36
INV500050,2023-02-25,10006,France,STK003,Set de tasses ceramique,4,14.97,59.88
INV500051,2023-06-21,10006,France,STK009,Vase en verre,3,20.12,60.36
INV500051,2023-06-21,10006,France,STK004,Plaid tricote,5,34.22,171.1
INV500051,2023-06-21,10006,France,STK001,Lampe de bureau design,2,25.8,51.6
INV500051,2023-06-21,10006,France,STK011,Plateau en bambou,4,19.43,77.72
INV500052,2023-11-25,10006,France,STK006,Cadre photo bois,1,9.48,9.48
INV500052,2023-11-25,10006,France,STK012,Miroir mural rond,5,48.67,243.35000000000002
INV500052,2023-11-25,10006,France,STK004,Plaid tricote,3,34.56,103.68
INV500053,2023-10-11,10006,France,STK012,Miroir mural rond,1,42.25,42.25
INV500053,2023-10-11,10006,France,STK012,Miroir mural rond,5,38.88,194.4
INV500054,2023-06-21,10007,France,STK008,Tapis de bain,2,31.21,62.42
INV500054,2023-06-21,10007,France,STK012,Miroir mural rond,5,56.83,284.15
INV500054,2023-06-21,10007,France,STK009,Vase en verre,2,18.13,36.26
INV500055,2023-08-17,10007,France,STK012,Miroir mural rond,3,37.61,112.83
INV500055,2023-08-17,10007,France,STK011,Plateau en bambou,1,21.42,21.42
INV500055,2023-08-17,10007,France,STK005,Bougie parfumee,2,14.08,28.16
INV500056,2023-01-31,10007,France,STK003,Set de tasses ceramique,5,15.48,77.4
INV500056,2023-01-31,10007,France,STK002,Coussin en lin,2,22.52,45.04
INV500056,2023-01-31,10007,France,STK006,Cadre photo bois,5,9.22,46.1
INV500056,2023-01-31,10007,France,STK007,Panier de rangement,2,26.1,52.2
INV500057,2023-04-26,10008,France,STK006,Cadre photo bois,1,9.73,9.73
INV500058,2023-01-20,10008,France,STK012,Miroir mural rond,3,44.77,134.31
INV500058,2023-01-20,10008,France,STK011,Plateau en bambou,3,22.97,68.91
INV500058,2023-01-20,10008,France,STK011,Plateau en bambou,4,17.1,68.4
INV500059,2023-07-22,10008,France,STK010,Guirlande lumineuse,4,15.43,61.72
INV500059,2023-07-22,10008,France,STK007,Panier de rangement,1,15.78,15.78
INV500059,2023-07-22,10008,France,STK002,Coussin en lin,2,17.07,34.14
INV500059,2023-07-22,10008,France,STK009,Vase en verre,2,16.37,32.74
INV500060,2023-02-04,10008,France,STK011,Plateau en bambou,5,21.21,106.05000000000001
INV500060,2023-02-04,10008,France,STK012,Miroir mural rond,4,37.32,149.28
INV500060,2023-02-04,10008,France,STK008,Tapis de bain,3,24.4,73.19999999999999
INV500060,2023-02-04,10008,France,STK012,Miroir mural rond,5,43.38,216.9
INV500061,2023-12-04,10009,Spain,STK009,Vase en verre,2,17.6,35.2
INV500062,2023-04-07,10009,Spain,STK009,Vase en verre,5,27.31,136.54999999999998
INV500062,2023-04-07,10009,Spain,STK006,Cadre photo bois,2,10.4,20.8
INV500062,2023-04-07,10009,Spain,STK003,Set de tasses ceramique,4,9.23,36.92
INV500063,2023-02-21,10010,Netherlands,STK012,Miroir mural rond,3,44.13,132.39000000000001
INV500064,2023-01-13,10010,Netherlands,STK011,Plateau en bambou,3,25.91,77.73
INV500064,2023-01-13,10010,Netherlands,STK003,Set de tasses ceramique,3,18.74,56.22
INV500064,2023-01-13,10010,Netherlands,STK007,Panier de rangement,3,20.63,61.89
INV500065,2023-09-06,10010,Netherlands,STK001,Lampe de bureau design,3,26.03,78.09
INV500066,2023-10-11,10010,Netherlands,STK005,Bougie parfumee,4,11.39,45.56
INV500066,2023-10-11,10010,Netherlands,STK009,Vase en verre,4,17.9,71.6
INV500067,2023-06-03,10010,Netherlands,STK008,Tapis de bain,2,27.52,55.04
INV500068,2023-08-27,10011,France,STK007,Panier de rangement,3,22.32,66.96000000000001
INV500068,2023-08-27,10011,France,STK005,Bougie parfumee,2,11.51,23.02
INV500069,2023-05-23,10011,France,STK009,Vase en verre,5,17.65,88.25
INV500069,2023-05-23,10011,France,STK003,Set de tasses ceramique,1,11.73,11.73
INV500069,2023-05-23,10011,France,STK004,Plaid tricote,2,34.77,69.54
INV500070,2023-08-07,10011,France,STK004,Plaid tricote,5,31.68,158.4
INV500070,2023-08-07,10011,France,STK005,Bougie parfumee,4,13.64,54.56
INV500070,2023-08-07,10011,France,STK001,Lampe de bureau design,1,21.97,21.97
INV500070,2023-08-07,10011,France,STK004,Plaid tricote,5,32.16,160.79999999999998
INV500071,2023-02-19,10012,France,STK001,Lampe de bureau design,1,28.69,28.69
INV500071,2023-02-19,10012,France,STK003,Set de tasses ceramique,1,15.85,15.85
INV500071,2023-02-19,10012,France,STK003,Set de tasses ceramique,2,15.27,30.54
INV500071,2023-02-19,10012,France,STK003,Set de tasses ceramique,1,14.94,14.94
INV500072,2023-06-11,10012,France,STK012,Miroir mural rond,5,47.91,239.54999999999998
INV500072,2023-06-11,10012,France,STK008,Tapis de bain,5,22.67,113.35000000000001
INV500072,2023-06-11,10012,France,STK004,Plaid tricote,1,27.76,27.76
INV500073,2023-06-20,10012,France,STK003,Set de tasses ceramique,2,15.33,30.66
INV500073,2023-06-20,10012,France,STK008,Tapis de bain,1,29.75,29.75
INV500073,2023-06-20,10012,France,STK010,Guirlande lumineuse,1,18.03,18.03
INV500074,2023-05-03,10012,France,STK003,Set de tasses ceramique,5,9.94,49.699999999999996
INV500074,2023-05-03,10012,France,STK001,Lampe de bureau design,4,23.6,94.4
INV500075,2023-02-23,10012,France,STK003,Set de tasses ceramique,4,15.96,63.84
INV500075,2023-02-23,10012,France,STK011,Plateau en bambou,4,15.7,62.8
INV500075,2023-02-23,10012,France,STK009,Vase en verre,2,18.2,36.4
INV500076,2023-11-15,10013,France,STK011,Plateau en bambou,1,20.35,20.35
INV500076,2023-11-15,10013,France,STK012,Miroir mural rond,4,40.33,161.32
INV500076,2023-11-15,10013,France,STK001,Lampe de bureau design,3,23.13,69.39
INV500077,2023-11-26,10013,France,STK003,Set de tasses ceramique,1,12.56,12.56
INV500077,2023-11-26,10013,France,STK002,Coussin en lin,1,15.88,15.88
INV500077,2023-11-26,10013,France,STK009,Vase en verre,3,21.26,63.78
INV500078,2023-11-04,10013,France,STK011,Plateau en bambou,4,17.58,70.32
INV500078,2023-11-04,10013,France,STK011,Plateau en bambou,4,19.47,77.88
INV500079,2023-09-02,10013,France,STK001,Lampe de bureau design,3,21.87,65.61
INV500079,2023-09-02,10013,France,STK005,Bougie parfumee,5,14.3,71.5
INV500080,2023-12-06,10013,France,STK006,Cadre photo bois,1,11.63,11.63
INV500080,2023-12-06,10013,France,STK001,Lampe de bureau design,5,23.75,118.75
INV500081,2023-08-14,10013,France,STK007,Panier de rangement,2,19.61,39.22
INV500081,2023-08-14,10013,France,STK012,Miroir mural rond,4,38.35,153.4
INV500081,2023-08-14,10013,France,STK012,Miroir mural rond,3,48.88,146.64000000000001
INV500081,2023-08-14,10013,France,STK003,Set de tasses ceramique,5,18.62,93.10000000000001
INV500082,2023-04-03,10014,France,STK010,Guirlande lumineuse,4,14.51,58.04
INV500082,2023-04-03,10014,France,STK003,Set de tasses ceramique,3,17.94,53.82000000000001
INV500082,2023-04-03,10014,France,STK005,Bougie parfumee,4,12.31,49.24
INV500083,2023-04-20,10015,France,STK001,Lampe de bureau design,4,22.12,88.48
INV500083,2023-04-20,10015,France,STK003,Set de tasses ceramique,2,17.38,34.76
INV500083,2023-04-20,10015,France,STK006,Cadre photo bois,4,7.92,31.68
INV500084,2023-02-15,10015,France,STK008,Tapis de bain,1,26.75,26.75
INV500084,2023-02-15,10015,France,STK007,Panier de rangement,5,22.37,111.85000000000001
INV500084,2023-02-15,10015,France,STK008,Tapis de bain,4,21.02,84.08
INV500085,2023-03-10,10016,Belgium,STK011,Plateau en bambou,5,19.87,99.35000000000001
INV500085,2023-03-10,10016,Belgium,STK004,Plaid tricote,4,36.81,147.24
INV500086,2023-01-17,10016,Belgium,STK006,Cadre photo bois,3,10.45,31.349999999999998
INV500086,2023-01-17,10016,Belgium,STK008,Tapis de bain,3,29.18,87.53999999999999
INV500086,2023-01-17,10016,Belgium,STK006,Cadre photo bois,1,11.14,11.14
INV500087,2023-01-08,10016,Belgium,STK006,Cadre photo bois,3,9.66,28.98
INV500087,2023-01-08,10016,Belgium,STK002,Coussin en lin,5,19.1,95.5
INV500088,2023-01-25,10017,France,STK005,Bougie parfumee,4,10.02,40.08
INV500088,2023-01-25,10017,France,STK002,Coussin en lin,1,19.4,19.4
INV500088,2023-01-25,10017,France,STK012,Miroir mural rond,4,43.27,173.08
INV500088,2023-01-25,10017,France,STK011,Plateau en bambou,4,22.94,91.76
INV500089,2023-04-27,10017,France,STK007,Panier de rangement,1,16.61,16.61
INV500089,2023-04-27,10017,France,STK009,Vase en verre,2,24.3,48.6
INV500090,2023-01-14,10017,France,STK003,Set de tasses ceramique,1,15.51,15.51
INV500091,2023-01-22,10017,France,STK004,Plaid tricote,4,39.39,157.56
INV500091,2023-01-22,10017,France,STK006,Cadre photo bois,2,10.65,21.3
INV500091,2023-01-22,10017,France,STK008,Tapis de bain,4,31.82,127.28
INV500092,2023-01-25,10017,France,STK002,Coussin en lin,4,20.57,82.28
INV500092,2023-01-25,10017,France,STK003,Set de tasses ceramique,5,16.15,80.75
INV500093,2023-03-04,10017,France,STK012,Miroir mural rond,4,39.13,156.52
INV500093,2023-03-04,10017,France,STK008,Tapis de bain,1,31.45,31.45
INV500093,2023-03-04,10017,France,STK007,Panier de rangement,1,15.9,15.9
INV500093,2023-03-04,10017,France,STK011,Plateau en bambou,4,18.09,72.36
INV500094,2023-03-06,10017,France,STK012,Miroir mural rond,1,43.18,43.18
INV500094,2023-03-06,10017,France,STK001,Lampe de bureau design,4,27.92,111.68
INV500095,2023-04-04,10018,France,STK012,Miroir mural rond,5,37.86,189.3
INV500095,2023-04-04,10018,France,STK001,Lampe de bureau design,4,19.52,78.08
INV500096,2023-02-02,10018,France,STK007,Panier de rangement,2,24.77,49.54
INV500096,2023-02-02,10018,France,STK002,Coussin en lin,1,15.27,15.27
INV500097,2023-08-12,10018,France,STK007,Panier de rangement,1,18.55,18.55
INV500097,2023-08-12,10018,France,STK003,Set de tasses ceramique,4,15.17,60.68
INV500098,2023-11-15,10018,France,STK005,Bougie parfumee,2,14.74,29.48
INV500098,2023-11-15,10018,France,STK004,Plaid tricote,3,33.37,100.10999999999999
INV500098,2023-11-15,10018,France,STK003,Set de tasses ceramique,3,13.09,39.269999999999996
INV500099,2023-01-20,10018,France,STK008,Tapis de bain,5,35.35,176.75
INV500099,2023-01-20,10018,France,STK007,Panier de rangement,5,27.27,136.35
INV500100,2023-01-11,10018,France,STK012,Miroir mural rond,4,43.53,174.12
INV500100,2023-01-11,10018,France,STK011,Plateau en bambou,2,17.57,35.14
INV500100,2023-01-11,10018,France,STK009,Vase en verre,2,21.92,43.84
INV500101,2023-01-01,10018,France,STK012,Miroir mural rond,1,35.13,35.13
INV500101,2023-01-01,10018,France,STK007,Panier de rangement,2,22.2,44.4
INV500102,2023-02-16,10019,France,STK001,Lampe de bureau design,1,23.63,23.63
INV500102,2023-02-16,10019,France,STK004,Plaid tricote,4,29.47,117.88
INV500102,2023-02-16,10019,France,STK004,Plaid tricote,3,30.41,91.23
INV500102,2023-02-16,10019,France,STK002,Coussin en lin,5,22.25,111.25
INV500103,2023-05-24,10019,France,STK010,Guirlande lumineuse,3,12.72,38.160000000000004
INV500103,2023-05-24,10019,France,STK001,Lampe de bureau design,3,20.53,61.59
INV500104,2023-08-06,10019,France,STK004,Plaid tricote,1,30.95,30.95
INV500104,2023-08-06,10019,France,STK002,Coussin en lin,2,20.03,40.06
INV500104,2023-08-06,10019,France,STK005,Bougie parfumee,2,13.33,26.66
INV500105,2023-11-12,10020,Germany,STK012,Miroir mural rond,1,40.6,40.6
INV500106,2023-07-13,10020,Germany,STK009,Vase en verre,1,19.21,19.21
INV500106,2023-07-13,10020,Germany,STK010,Guirlande lumineuse,3,14.11,42.33
INV500106,2023-07-13,10020,Germany,STK002,Coussin en lin,4,22.06,88.24
INV500106,2023-07-13,10020,Germany,STK005,Bougie parfumee,3,10.88,32.64
INV500107,2023-07-30,10020,Germany,STK007,Panier de rangement,3,24.45,73.35
INV500107,2023-07-30,10020,Germany,STK009,Vase en verre,1,23.13,23.13
INV500107,2023-07-30,10020,Germany,STK012,Miroir mural rond,3,50.45,151.35000000000002
INV500107,2023-07-30,10020,Germany,STK011,Plateau en bambou,1,22.72,22.72
INV500108,2023-09-25,10020,Germany,STK011,Plateau en bambou,2,16.75,33.5
INV500108,2023-09-25,10020,Germany,STK011,Plateau en bambou,1,25.72,25.72
INV500109,2023-03-13,10020,Germany,STK005,Bougie parfumee,2,14.58,29.16
INV500109,2023-03-13,10020,Germany,STK001,Lampe de bureau design,5,28.59,142.95
INV500110,2023-08-27,10020,Germany,STK010,Guirlande lumineuse,2,13.88,27.76
INV500111,2023-03-04,10020,Germany,STK010,Guirlande lumineuse,3,12.43,37.29
INV500111,2023-03-04,10020,Germany,STK007,Panier de rangement,2,25.92,51.84
INV500111,2023-03-04,10020,Germany,STK003,Set de tasses ceramique,4,9.16,36.64
INV500111,2023-03-04,10020,Germany,STK003,Set de tasses ceramique,5,12.72,63.6
INV500112,2023-05-07,10020,Germany,STK003,Set de tasses ceramique,2,16.39,32.78
INV500112,2023-05-07,10020,Germany,STK006,Cadre photo bois,4,8.86,35.44
INV500112,2023-05-07,10020,Germany,STK010,Guirlande lumineuse,2,11.98,23.96
INV500113,2023-09-23,10020,Germany,STK011,Plateau en bambou,4,30.85,123.4
INV500113,2023-09-23,10020,Germany,STK001,Lampe de bureau design,1,21.78,21.78
INV500113,2023-09-23,10020,Germany,STK003,Set de tasses ceramique,4,14.01,56.04
INV500113,2023-09-23,10020,Germany,STK010,Guirlande lumineuse,4,12.47,49.88
INV500114,2023-07-24,10021,France,STK002,Coussin en lin,4,16.66,66.64
INV500114,2023-07-24,10021,France,STK001,Lampe de bureau design,4,26.18,104.72
INV500114,2023-07-24,10021,France,STK009,Vase en verre,1,18.92,18.92
INV500114,2023-07-24,10021,France,STK006,Cadre photo bois,1,10.38,10.38
INV500115,2023-07-05,10021,France,STK006,Cadre photo bois,4,10.28,41.12
INV500115,2023-07-05,10021,France,STK010,Guirlande lumineuse,2,17.1,34.2
INV500116,2023-12-29,10021,France,STK004,Plaid tricote,5,31.58,157.89999999999998
INV500116,2023-12-29,10021,France,STK011,Plateau en bambou,4,18.47,73.88
INV500116,2023-12-29,10021,France,STK003,Set de tasses ceramique,3,9.91,29.73
INV500117,2023-10-10,10021,France,STK006,Cadre photo bois,4,10.91,43.64
INV500117,2023-10-10,10021,France,STK005,Bougie parfumee,2,11.01,22.02
INV500117,2023-10-10,10021,France,STK001,Lampe de bureau design,4,25.9,103.6
INV500118,2023-07-16,10021,France,STK010,Guirlande lumineuse,1,17.72,17.72
INV500118,2023-07-16,10021,France,STK011,Plateau en bambou,1,24.91,24.91
INV500118,2023-07-16,10021,France,STK006,Cadre photo bois,4,10.96,43.84
INV500118,2023-07-16,10021,France,STK005,Bougie parfumee,3,12.0,36.0
INV500119,2023-07-01,10021,France,STK001,Lampe de bureau design,5,25.61,128.05
INV500120,2023-11-02,10021,France,STK008,Tapis de bain,2,25.4,50.8
INV500121,2023-03-04,10021,France,STK007,Panier de rangement,3,15.66,46.980000000000004
INV500121,2023-03-04,10021,France,STK001,Lampe de bureau design,1,30.7,30.7
INV500121,2023-03-04,10021,France,STK009,Vase en verre,2,17.83,35.66
INV500121,2023-03-04,10021,France,STK009,Vase en verre,2,14.97,29.94
INV500122,2023-11-15,10021,France,STK001,Lampe de bureau design,5,15.23,76.15
INV500122,2023-11-15,10021,France,STK002,Coussin en lin,5,22.82,114.1
INV500122,2023-11-15,10021,France,STK010,Guirlande lumineuse,2,13.53,27.06
INV500123,2023-09-14,10022,France,STK002,Coussin en lin,3,16.35,49.050000000000004
INV500123,2023-09-14,10022,France,STK011,Plateau en bambou,2,22.25,44.5
INV500123,2023-09-14,10022,France,STK009,Vase en verre,3,22.78,68.34
INV500124,2023-01-02,10022,France,STK008,Tapis de bain,5,31.55,157.75
INV500124,2023-01-02,10022,France,STK003,Set de tasses ceramique,2,16.93,33.86
INV500125,2023-04-16,10022,France,STK008,Tapis de bain,3,22.75,68.25
INV500126,2023-01-24,10022,France,STK004,Plaid tricote,3,36.5,109.5
INV500126,2023-01-24,10022,France,STK004,Plaid tricote,4,38.19,152.76
INV500127,2023-04-30,10022,France,STK004,Plaid tricote,1,33.87,33.87
INV500127,2023-04-30,10022,France,STK001,Lampe de bureau design,1,30.37,30.37
INV500127,2023-04-30,10022,France,STK008,Tapis de bain,3,24.05,72.15
INV500128,2023-05-19,10023,France,STK012,Miroir mural rond,1,43.06,43.06
INV500128,2023-05-19,10023,France,STK008,Tapis de bain,3,28.09,84.27
INV500128,2023-05-19,10023,France,STK005,Bougie parfumee,3,14.77,44.31
INV500128,2023-05-19,10023,France,STK003,Set de tasses ceramique,3,12.07,36.21
INV500129,2023-05-16,10023,France,STK009,Vase en verre,5,22.77,113.85
INV500129,2023-05-16,10023,France,STK004,Plaid tricote,5,26.03,130.15
INV500129,2023-05-16,10023,France,STK006,Cadre photo bois,4,12.61,50.44
INV500129,2023-05-16,10023,France,STK006,Cadre photo bois,1,7.8,7.8
INV500130,2023-01-14,10023,France,STK002,Coussin en lin,2,17.5,35.0
INV500130,2023-01-14,10023,France,STK001,Lampe de bureau design,2,16.35,32.7
INV500130,2023-01-14,10023,France,STK001,Lampe de bureau design,4,25.92,103.68
INV500130,2023-01-14,10023,France,STK005,Bougie parfumee,2,12.42,24.84
INV500131,2023-05-20,10023,France,STK007,Panier de rangement,1,14.38,14.38
INV500131,2023-05-20,10023,France,STK009,Vase en verre,1,17.43,17.43
